Attendance_ID,Employee_ID,Date,Status,Working_Hours
AT00001,EMP0001,2025-01-01,Present,8.6
AT00002,EMP0001,2025-01-02,Present,7.0
AT00003,EMP0001,2025-01-03,Present,8.2
AT00004,EMP0001,2025-01-04,WFH,8.1
AT00005,EMP0001,2025-01-05,Present,8.3
AT00006,EMP0001,2025-01-06,Present,8.9
AT00007,EMP0001,2025-01-07,Present,8.5
AT00008,EMP0001,2025-01-08,Present,8.5
AT00009,EMP0001,2025-01-09,WFH,8.3
AT00010,EMP0001,2025-01-10,Present,7.0
AT00011,EMP0001,2025-01-11,Present,8.4
AT00012,EMP0001,2025-01-12,Present,7.3
AT00013,EMP0001,2025-01-13,Present,7.7
AT00014,EMP0001,2025-01-14,Present,8.9
AT00015,EMP0001,2025-01-15,Present,7.1
AT00016,EMP0001,2025-01-16,Present,8.1
AT00017,EMP0001,2025-01-17,Present,8.4
AT00018,EMP0001,2025-01-18,Present,7.6
AT00019,EMP0001,2025-01-19,Present,8.5
AT00020,EMP0001,2025-01-20,Present,7.3
AT00021,EMP0001,2025-01-21,WFH,7.5
AT00022,EMP0001,2025-01-22,Leave,8.3
AT00023,EMP0001,2025-01-23,Present,7.0
AT00024,EMP0001,2025-01-24,Present,7.5
AT00025,EMP0001,2025-01-25,Present,8.2
AT00026,EMP0001,2025-01-26,Present,7.0
AT00027,EMP0001,2025-01-27,Present,7.6
AT00028,EMP0001,2025-01-28,WFH,8.6
AT00029,EMP0001,2025-01-29,Present,7.4
AT00030,EMP0001,2025-01-30,Present,8.4
AT00031,EMP0002,2025-01-01,Present,8.0
AT00032,EMP0002,2025-01-02,Present,7.8
AT00033,EMP0002,2025-01-03,Present,8.0
AT00034,EMP0002,2025-01-04,Present,8.2
AT00035,EMP0002,2025-01-05,Present,8.6
AT00036,EMP0002,2025-01-06,Present,7.7
AT00037,EMP0002,2025-01-07,Present,8.4
AT00038,EMP0002,2025-01-08,Present,7.1
AT00039,EMP0002,2025-01-09,Present,7.0
AT00040,EMP0002,2025-01-10,Absent,0.0
AT00041,EMP0002,2025-01-11,Present,7.1
AT00042,EMP0002,2025-01-12,Present,8.2
AT00043,EMP0002,2025-01-13,Present,8.9
AT00044,EMP0002,2025-01-14,Present,8.2
AT00045,EMP0002,2025-01-15,Present,7.9
AT00046,EMP0002,2025-01-16,Present,8.9
AT00047,EMP0002,2025-01-17,Absent,0.0
AT00048,EMP0002,2025-01-18,Present,7.5
AT00049,EMP0002,2025-01-19,Present,8.7
AT00050,EMP0002,2025-01-20,Absent,0.0
AT00051,EMP0002,2025-01-21,Present,9.0
AT00052,EMP0002,2025-01-22,Present,7.7
AT00053,EMP0002,2025-01-23,Present,7.2
AT00054,EMP0002,2025-01-24,Present,8.4
AT00055,EMP0002,2025-01-25,Present,7.6
AT00056,EMP0002,2025-01-26,Leave,7.2
AT00057,EMP0002,2025-01-27,WFH,7.8
AT00058,EMP0002,2025-01-28,Present,8.1
